Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.9114765330592669,0.9196595684498347,0.9114765330592669,0.9105478092372472
Random Forest,0.9153819801301816,0.9253205879566946,0.9153819801301816,0.9144316983795562
XGBoost,0.9161356628982529,0.9261193214737864,0.9161356628982529,0.9151826657738646
